City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Westonaria,ZA,2021-03-24 23:12:44,-26.3191,27.6486,60.01,97,97,5.19
209,Norrtalje,SE,2021-03-24 23:12:44,59.758,18.705,43.0,75,0,12.66
210,Alim,PH,2021-03-24 23:12:45,9.5649,122.4876,80.44,76,96,9.66
211,Kindu,CD,2021-03-24 23:12:45,-2.95,25.95,69.82,97,93,2.39
212,Luderitz,NA,2021-03-24 23:12:45,-26.6481,15.1594,65.53,80,0,6.91
213,Kaeo,NZ,2021-03-24 23:12:46,-35.1,173.7833,73.0,66,0,1.01
214,Southampton,GB,2021-03-24 23:12:46,50.904,-1.4043,45.0,86,49,5.23
215,Zhangjiakou,CN,2021-03-24 23:12:46,40.81,114.8794,43.79,35,1,2.06
216,Yuncheng,CN,2021-03-24 23:12:46,35.0231,110.9928,53.17,59,99,6.26
217,Wamba,NG,2021-03-24 23:12:47,8.9333,8.6,78.1,71,56,1.86
218,Nongan,CN,2021-03-24 23:12:47,44.382,125.1685,44.01,56,75,8.95
219,Eseka,CM,2021-03-24 23:12:47,3.65,10.7667,72.52,98,100,1.34
220,Shache,CN,2021-03-24 23:12:47,38.4167,77.2406,52.43,28,99,5.28
221,Velizh,RU,2021-03-24 23:12:48,55.6056,31.1967,25.25,93,37,3.6
222,Terrace,CA,2021-03-24 23:12:48,54.5163,-128.6035,41.0,93,90,12.66
223,Funadhoo,MV,2021-03-24 23:12:48,6.15,73.2667,82.96,71,94,3.18
224,Harper,LR,2021-03-24 23:12:48,4.375,-7.7169,78.22,88,56,2.66
225,Lorengau,PG,2021-03-24 23:12:49,-2.0226,147.2712,81.45,78,100,6.31
226,Wajima,JP,2021-03-24 23:12:49,37.4,136.9,52.45,73,100,6.55
227,Evensk,RU,2021-03-24 23:12:49,61.95,159.2333,11.17,92,100,4.63
228,Sisimiut,GL,2021-03-24 23:12:49,66.9395,-53.6735,0.45,92,100,12.1
